Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
10/20/2022,79,0,79,24,2,0,2,3,0,3,0,0,0,0,0,0,0.06329113924,0,0.06329113924
10/21/2022,26,0,26,9,2,0,2,3,0,3,0,0,0,0,0,0,0.1923076923,0,0.1923076923
10/22/2022,24,0,24,15,3,0,3,3,0,3,0,0,0,0,0,0,0.25,0,0.25
10/23/2022,167,0,167,42,9,0,9,8,0,8,0,0,0,1,0,1,0.1077844311,0,0.1077844311
10/24/2022,46,0,46,16,3,0,3,2,0,2,0,0,0,0,0,0,0.1086956522,0,0.1086956522
10/25/2022,32,0,32,11,4,0,4,2,0,2,0,0,0,0,0,0,0.1875,0,0.1875
10/26/2022,62,0,62,22,2,0,2,3,0,3,0,0,0,0,0,0,0.08064516129,0,0.08064516129
10/27/2022,33,0,33,12,3,0,3,3,0,3,0,0,0,0,0,0,0.1818181818,0,0.1818181818
10/28/2022,37,0,37,16,1,0,1,3,0,3,0,0,0,0,0,0,0.1081081081,0,0.1081081081
10/29/2022,35,0,35,10,1,0,1,1,0,1,0,0,0,0,0,0,0.05714285714,0,0.05714285714
10/30/2022,66,0,66,17,2,0,2,3,0,3,0,0,0,1,0,1,0.09090909091,0,0.09090909091
10/31/2022,68,0,68,21,2,0,2,6,0,6,0,0,0,0,0,0,0.1176470588,0,0.1176470588
11/01/2022,70,0,70,19,5,0,5,3,0,3,0,0,0,0,0,0,0.1142857143,0,0.1142857143
11/02/2022,96,0,96,12,2,0,2,3,0,3,0,0,0,0,0,0,0.05208333333,0,0.05208333333
11/03/2022,38,0,38,17,4,0,4,2,0,2,0,0,0,0,0,0,0.1578947368,0,0.1578947368
11/04/2022,41,0,41,13,1,0,1,2,0,2,0,0,0,0,0,0,0.07317073171,0,0.07317073171
11/05/2022,19,0,19,9,1,0,1,2,0,2,0,0,0,0,0,0,0.1578947368,0,0.1578947368
11/06/2022,33,0,33,13,3,0,3,3,0,3,0,0,0,0,0,0,0.1818181818,0,0.1818181818
11/07/2022,28,0,28,14,0,0,0,3,0,3,0,0,0,0,0,0,0.1071428571,0,0.1071428571
11/08/2022,42,0,42,15,3,0,3,3,0,3,0,0,0,0,0,0,0.1428571429,0,0.1428571429
11/09/2022,82,0,82,16,2,0,2,4,0,4,0,0,0,0,0,0,0.07317073171,0,0.07317073171
11/10/2022,48,0,48,15,2,0,2,4,0,4,0,0,0,0,0,0,0.125,0,0.125
11/11/2022,73,0,73,26,3,0,3,6,0,6,0,0,0,1,0,1,0.1369863014,0,0.1369863014
11/12/2022,66,0,66,31,3,0,3,2,0,2,0,0,0,1,0,1,0.09090909091,0,0.09090909091
11/13/2022,44,0,44,18,2,0,2,3,0,3,0,0,0,1,0,1,0.1363636364,0,0.1363636364
11/14/2022,126,0,126,21,5,0,5,2,0,2,0,0,0,0,0,0,0.05555555556,0,0.05555555556
11/15/2022,49,0,49,11,0,0,0,4,0,4,0,0,0,2,0,2,0.1224489796,0,0.1224489796
11/16/2022,32,0,32,13,2,0,2,3,0,3,0,0,0,1,0,1,0.1875,0,0.1875
11/17/2022,86,0,86,15,2,0,2,5,0,5,0,0,0,5,0,5,0.1395348837,0,0.1395348837
11/18/2022,37,0,37,10,4,0,4,2,0,2,0,0,0,0,0,0,0.1621621622,0,0.1621621622
11/19/2022,66,0,66,16,6,0,6,5,0,5,0,0,0,3,0,3,0.2121212121,0,0.2121212121
11/20/2022,71,0,71,13,8,0,8,4,0,4,0,0,0,1,0,1,0.1830985915,0,0.1830985915
11/21/2022,70,0,70,23,3,0,3,3,0,3,0,0,0,1,0,1,0.1,0,0.1
11/22/2022,71,0,71,19,4,0,4,4,0,4,0,0,0,1,0,1,0.1267605634,0,0.1267605634
11/23/2022,88,0,88,14,7,0,7,4,0,4,0,0,0,1,0,1,0.1363636364,0,0.1363636364
11/24/2022,88,0,88,18,3,0,3,6,0,6,0,0,0,3,0,3,0.1363636364,0,0.1363636364
11/25/2022,28,0,28,11,3,0,3,2,0,2,0,0,0,0,0,0,0.1785714286,0,0.1785714286
11/26/2022,35,0,35,8,3,0,3,2,0,2,0,0,0,1,0,1,0.1714285714,0,0.1714285714
11/27/2022,45,0,45,14,2,0,2,4,0,4,0,0,0,1,0,1,0.1555555556,0,0.1555555556
11/28/2022,100,0,100,14,4,0,4,5,0,5,0,0,0,0,0,0,0.09,0,0.09
11/29/2022,44,0,44,18,3,0,3,5,0,5,0,0,0,0,0,0,0.1818181818,0,0.1818181818
11/30/2022,58,0,58,17,4,0,4,2,0,2,0,0,0,0,0,0,0.1034482759,0,0.1034482759
12/01/2022,59,0,59,20,3,0,3,2,0,2,0,0,0,0,0,0,0.08474576271,0,0.08474576271
12/02/2022,35,0,35,14,3,0,3,3,0,3,0,0,0,0,0,0,0.1714285714,0,0.1714285714
